sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
2,2023-09-15 18:45:00,organic,1.09,0.96,0.15,28.04
3,2023-09-15 19:00:00,recyclable,1.27,0.74,0.36,80.98
3,2023-09-15 19:15:00,non_recyclable,0.61,0.12,0.04,3.13
4,2023-09-15 19:30:00,recyclable,0.76,0.59,0.12,58.34
3,2023-09-15 19:45:00,recyclable,1.28,0.79,0.62,54.22
2,2023-09-15 20:00:00,non_recyclable,0.88,0.67,0.47,94.02
3,2023-09-15 20:15:00,organic,0.65,0.91,0.17,16.78
3,2023-09-15 20:30:00,non_recyclable,0.78,0.11,0.14,55.58
3,2023-09-15 20:45:00,non_recyclable,0.87,0.76,0.52,43.86
1,2023-09-15 21:00:00,organic,1.09,0.44,0.67,69.76
2,2023-09-15 21:15:00,non_recyclable,0.95,0.98,0.31,85.77
1,2023-09-15 21:30:00,organic,0.8,0.14,0.12,15.54
2,2023-09-15 21:45:00,non_recyclable,1.28,0.28,0.05,27.65
1,2023-09-15 22:00:00,organic,1.21,0.45,0.03,98.69
2,2023-09-15 22:15:00,organic,0.73,0.43,0.62,56.96
2,2023-09-15 22:30:00,recyclable,1.34,0.81,0.73,55.39
1,2023-09-15 22:45:00,organic,0.89,0.84,0.31,83.89
2,2023-09-15 23:00:00,organic,1.39,0.28,0.19,79.27
1,2023-09-15 23:15:00,non_recyclable,1.04,0.62,0.48,38.47
1,2023-09-15 23:30:00,organic,0.79,0.57,0.6,93.29
4,2023-09-15 23:45:00,recyclable,1.1,0.08,0.31,76.0
4,2023-09-16 00:00:00,recyclable,0.85,0.05,0.92,96.56
2,2023-09-16 00:15:00,non_recyclable,0.99,0.22,0.96,33.85
1,2023-09-16 00:30:00,non_recyclable,0.69,0.46,0.47,59.67
3,2023-09-16 00:45:00,non_recyclable,1.14,0.7,0.88,49.28
3,2023-09-16 01:00:00,organic,1.11,0.89,0.62,26.85
3,2023-09-16 01:15:00,recyclable,0.76,0.98,0.28,63.64
1,2023-09-16 01:30:00,non_recyclable,1.1,0.64,0.55,75.19
2,2023-09-16 01:45:00,non_recyclable,1.04,0.33,0.95,23.56
1,2023-09-16 02:00:00,non_recyclable,1.04,0.84,0.82,10.02
3,2023-09-16 02:15:00,recyclable,1.08,0.35,0.18,2.18
1,2023-09-16 02:30:00,organic,1.35,0.2,0.21,69.97
3,2023-09-16 02:45:00,organic,1.05,0.36,0.1,34.7
3,2023-09-16 03:00:00,recyclable,0.97,0.36,0.39,87.11
2,2023-09-16 03:15:00,organic,1.14,0.2,0.57,48.31
3,2023-09-16 03:30:00,non_recyclable,1.16,0.16,0.88,92.62
4,2023-09-16 03:45:00,non_recyclable,1.39,0.44,0.72,60.65
1,2023-09-16 04:00:00,recyclable,0.94,0.17,0.9,99.23
1,2023-09-16 04:15:00,recyclable,0.89,0.69,0.24,45.79
3,2023-09-16 04:30:00,non_recyclable,0.79,0.67,0.09,14.95
3,2023-09-16 04:45:00,recyclable,1.13,0.97,0.15,68.08
4,2023-09-16 05:00:00,recyclable,1.37,0.55,0.83,36.92
3,2023-09-16 05:15:00,organic,1.21,0.9,0.43,38.58
1,2023-09-16 05:30:00,organic,0.77,0.1,0.6,96.49
2,2023-09-16 05:45:00,organic,1.04,0.74,0.47,56.75
3,2023-09-16 06:00:00,organic,1.05,0.98,0.24,98.33
4,2023-09-16 06:15:00,organic,0.67,0.33,0.76,39.0
3,2023-09-16 06:30:00,recyclable,0.96,0.29,0.66,60.71
4,2023-09-16 06:45:00,non_recyclable,1.2,0.12,0.57,25.28
1,2023-09-16 07:00:00,recyclable,0.69,0.02,0.47,9.11
2,2023-09-16 07:15:00,recyclable,1.19,0.83,0.07,32.49
2,2023-09-16 07:30:00,organic,0.66,0.33,0.79,96.69
3,2023-09-16 07:45:00,recyclable,0.83,0.96,0.38,85.39
2,2023-09-16 08:00:00,organic,1.25,0.8,0.81,4.21
1,2023-09-16 08:15:00,organic,1.19,0.28,0.03,62.62
3,2023-09-16 08:30:00,recyclable,1.11,0.4,0.01,36.32
3,2023-09-16 08:45:00,recyclable,1.21,0.14,0.92,58.33
1,2023-09-16 09:00:00,recyclable,1.04,0.53,0.24,86.07
3,2023-09-16 09:15:00,organic,1.25,0.76,0.4,0.71
4,2023-09-16 09:30:00,recyclable,1.17,0.58,0.34,85.39
2,2023-09-16 09:45:00,recyclable,0.76,0.62,0.3,39.06
1,2023-09-16 10:00:00,organic,1.13,0.37,0.72,45.98
4,2023-09-16 10:15:00,recyclable,0.95,0.47,0.41,93.27
3,2023-09-16 10:30:00,non_recyclable,0.73,0.95,0.14,86.84
3,2023-09-16 10:45:00,recyclable,1.21,0.05,0.16,51.01
4,2023-09-16 11:00:00,organic,0.87,0.97,0.74,51.84
4,2023-09-16 11:15:00,non_recyclable,1.07,0.61,0.2,95.29
2,2023-09-16 11:30:00,non_recyclable,0.85,0.86,0.44,68.86
2,2023-09-16 11:45:00,organic,0.99,0.92,0.43,82.29
4,2023-09-16 12:00:00,organic,1.33,0.46,0.56,83.79
2,2023-09-16 12:15:00,recyclable,1.31,0.64,0.49,67.82
1,2023-09-16 12:30:00,organic,1.13,0.04,0.39,14.58
2,2023-09-16 12:45:00,recyclable,1.36,0.13,0.55,68.61
2,2023-09-16 13:00:00,organic,0.72,0.11,0.92,79.65
1,2023-09-16 13:15:00,recyclable,0.74,0.06,0.19,88.35
2,2023-09-16 13:30:00,non_recyclable,1.25,0.56,0.62,36.39
3,2023-09-16 13:45:00,organic,1.18,0.47,0.89,74.61
3,2023-09-16 14:00:00,recyclable,0.99,0.05,0.46,70.0
1,2023-09-16 14:15:00,recyclable,0.81,0.96,0.42,9.98
4,2023-09-16 14:30:00,non_recyclable,1.19,0.87,0.83,31.08
3,2023-09-16 14:45:00,recyclable,1.3,0.54,0.93,22.7
3,2023-09-16 15:00:00,non_recyclable,1.19,0.2,0.96,67.37
2,2023-09-16 15:15:00,recyclable,0.86,0.81,0.77,50.67
3,2023-09-16 15:30:00,recyclable,1.22,0.3,0.85,69.63
4,2023-09-16 15:45:00,non_recyclable,1.3,0.37,0.1,20.61
2,2023-09-16 16:00:00,recyclable,0.92,0.81,0.63,66.8
4,2023-09-16 16:15:00,non_recyclable,1.31,0.2,0.33,5.32
4,2023-09-16 16:30:00,organic,0.77,0.56,0.08,64.24
4,2023-09-16 16:45:00,recyclable,1.02,0.13,0.39,22.35
4,2023-09-16 17:00:00,organic,0.6,0.52,0.12,82.51
4,2023-09-16 17:15:00,non_recyclable,0.76,0.91,0.67,10.03
4,2023-09-16 17:30:00,recyclable,0.97,0.79,0.73,11.16
4,2023-09-16 17:45:00,recyclable,0.83,0.92,0.82,10.48
3,2023-09-16 18:00:00,recyclable,1.02,0.8,0.94,97.45
3,2023-09-16 18:15:00,recyclable,0.61,0.72,0.79,75.26
2,2023-09-16 18:30:00,recyclable,1.29,0.29,0.92,74.39
3,2023-09-16 18:45:00,non_recyclable,1.06,0.41,0.95,56.75
3,2023-09-16 19:00:00,non_recyclable,1.36,0.35,0.15,85.28
3,2023-09-16 19:15:00,organic,0.98,0.9,0.87,68.68
1,2023-09-16 19:30:00,organic,1.21,0.45,0.4,27.53
2,2023-09-16 19:45:00,organic,0.91,0.51,0.64,88.42
2,2023-09-16 20:00:00,recyclable,1.01,0.26,0.81,97.63
1,2023-09-16 20:15:00,non_recyclable,1.33,0.72,0.58,50.27
3,2023-09-16 20:30:00,non_recyclable,0.76,0.85,0.55,68.84
3,2023-09-16 20:45:00,non_recyclable,0.8,0.62,0.66,35.07
1,2023-09-16 21:00:00,recyclable,1.19,0.6,0.47,8.52
1,2023-09-16 21:15:00,recyclable,0.98,0.83,0.63,59.98
1,2023-09-16 21:30:00,recyclable,1.24,0.37,0.56,31.3
2,2023-09-16 21:45:00,recyclable,0.73,0.4,0.23,6.69
4,2023-09-16 22:00:00,organic,1.05,0.29,0.05,31.65
1,2023-09-16 22:15:00,recyclable,1.03,0.35,0.71,49.32
2,2023-09-16 22:30:00,organic,1.35,0.81,0.6,30.09
1,2023-09-16 22:45:00,recyclable,0.74,0.87,0.22,30.24
4,2023-09-16 23:00:00,non_recyclable,1.13,0.85,0.82,47.01
1,2023-09-16 23:15:00,recyclable,0.82,0.46,0.91,59.71
4,2023-09-16 23:30:00,organic,0.67,0.63,0.12,90.49
1,2023-09-16 23:45:00,recyclable,1.31,0.24,0.62,61.63
3,2023-09-17 00:00:00,non_recyclable,1.25,0.94,0.11,77.4
4,2023-09-17 00:15:00,organic,1.0,0.14,0.75,9.4
3,2023-09-17 00:30:00,recyclable,0.87,0.46,0.09,52.22
1,2023-09-17 00:45:00,non_recyclable,0.83,0.64,0.18,64.78
2,2023-09-17 01:00:00,recyclable,0.9,0.05,0.86,68.38
3,2023-09-17 01:15:00,recyclable,1.38,0.29,0.21,23.14
4,2023-09-17 01:30:00,recyclable,1.1,0.21,0.01,54.25
1,2023-09-17 01:45:00,non_recyclable,1.35,0.42,0.45,26.59
3,2023-09-17 02:00:00,non_recyclable,0.86,0.55,0.01,77.36
1,2023-09-17 02:15:00,organic,0.88,0.65,0.19,86.23
2,2023-09-17 02:30:00,non_recyclable,1.37,0.12,0.14,98.42
3,2023-09-17 02:45:00,non_recyclable,0.87,0.09,0.12,72.16
3,2023-09-17 03:00:00,recyclable,0.82,0.07,0.79,55.69
2,2023-09-17 03:15:00,recyclable,0.9,0.09,0.85,2.8
3,2023-09-17 03:30:00,recyclable,1.14,0.59,0.6,32.65
4,2023-09-17 03:45:00,recyclable,0.78,0.57,0.91,88.02
4,2023-09-17 04:00:00,non_recyclable,1.02,0.62,0.56,34.51
4,2023-09-17 04:15:00,non_recyclable,1.34,0.6,0.39,47.59
2,2023-09-17 04:30:00,organic,1.13,0.1,0.13,33.1
4,2023-09-17 04:45:00,non_recyclable,1.25,0.1,0.0,20.02
4,2023-09-17 05:00:00,organic,0.79,0.52,0.78,49.95
3,2023-09-17 05:15:00,recyclable,1.4,0.9,0.68,61.03
1,2023-09-17 05:30:00,recyclable,0.82,0.94,0.34,60.58
3,2023-09-17 05:45:00,organic,1.11,0.26,0.63,6.78
2,2023-09-17 06:00:00,non_recyclable,1.36,0.57,0.27,19.38
3,2023-09-17 06:15:00,recyclable,0.86,0.55,0.53,90.3
1,2023-09-17 06:30:00,non_recyclable,1.3,0.52,0.3,39.52
3,2023-09-17 06:45:00,organic,0.91,0.65,0.02,22.33
1,2023-09-17 07:00:00,non_recyclable,0.86,0.11,0.08,86.96
2,2023-09-17 07:15:00,recyclable,1.2,0.63,0.8,64.35
2,2023-09-17 07:30:00,non_recyclable,1.1,0.65,0.74,68.69
3,2023-09-17 07:45:00,non_recyclable,0.97,0.72,0.82,92.28
1,2023-09-17 08:00:00,non_recyclable,0.94,0.59,0.56,71.49
4,2023-09-17 08:15:00,non_recyclable,0.63,0.43,0.46,61.09
2,2023-09-17 08:30:00,organic,1.24,0.23,0.14,61.28
2,2023-09-17 08:45:00,recyclable,0.64,0.1,0.99,51.18
3,2023-09-17 09:00:00,organic,0.89,0.32,0.87,52.42
4,2023-09-17 09:15:00,non_recyclable,0.65,0.18,0.2,55.93
1,2023-09-17 09:30:00,non_recyclable,0.63,0.72,0.17,86.23
1,2023-09-17 09:45:00,recyclable,1.35,0.57,0.51,84.72
3,2023-09-17 10:00:00,organic,0.71,0.98,0.47,46.26
3,2023-09-17 10:15:00,non_recyclable,0.76,0.32,0.51,11.82
3,2023-09-17 10:30:00,non_recyclable,0.67,0.82,0.09,99.82
2,2023-09-17 10:45:00,organic,1.29,0.25,0.25,9.01
3,2023-09-17 11:00:00,non_recyclable,0.76,0.72,0.64,24.01
1,2023-09-17 11:15:00,organic,0.95,0.94,0.3,38.92
2,2023-09-17 11:30:00,non_recyclable,1.16,0.22,0.06,7.01
4,2023-09-17 11:45:00,organic,1.25,0.07,0.8,86.95
3,2023-09-17 12:00:00,non_recyclable,1.17,0.99,0.38,74.08
1,2023-09-17 12:15:00,recyclable,0.83,0.82,0.06,19.44
4,2023-09-17 12:30:00,non_recyclable,1.02,0.93,0.22,75.4
3,2023-09-17 12:45:00,organic,0.63,0.41,0.0,33.65
1,2023-09-17 13:00:00,recyclable,1.19,0.14,0.09,20.83
3,2023-09-17 13:15:00,non_recyclable,1.05,0.9,0.02,27.46
1,2023-09-17 13:30:00,organic,0.88,0.79,0.94,1.44
2,2023-09-17 13:45:00,organic,0.7,0.04,0.45,88.15
1,2023-09-17 14:00:00,organic,0.98,0.6,1.0,77.91
1,2023-09-17 14:15:00,organic,1.36,0.69,0.04,92.51
1,2023-09-17 14:30:00,recyclable,0.83,0.15,0.72,0.71
1,2023-09-17 14:45:00,non_recyclable,1.15,0.51,0.62,98.19
4,2023-09-17 15:00:00,recyclable,0.92,0.47,0.48,80.25
2,2023-09-17 15:15:00,non_recyclable,0.94,0.34,0.16,22.19
1,2023-09-17 15:30:00,recyclable,1.39,0.07,0.14,89.34
4,2023-09-17 15:45:00,non_recyclable,1.15,0.34,0.85,95.93
4,2023-09-17 16:00:00,organic,0.67,0.57,0.68,54.98
1,2023-09-17 16:15:00,non_recyclable,0.61,0.07,0.96,99.08
4,2023-09-17 16:30:00,non_recyclable,1.39,0.03,0.62,78.12
4,2023-09-17 16:45:00,non_recyclable,1.22,0.19,0.9,43.47
3,2023-09-17 17:00:00,non_recyclable,1.31,0.29,0.95,77.57
2,2023-09-17 17:15:00,non_recyclable,0.7,0.76,0.32,44.03
4,2023-09-17 17:30:00,recyclable,0.8,0.58,0.85,82.53
2,2023-09-17 17:45:00,non_recyclable,1.15,0.61,0.44,93.88
1,2023-09-17 18:00:00,non_recyclable,0.82,0.12,0.19,25.9
4,2023-09-17 18:15:00,organic,0.98,0.58,0.49,29.06
3,2023-09-17 18:30:00,organic,1.06,0.42,0.3,84.54
3,2023-09-17 18:45:00,non_recyclable,1.37,0.79,0.24,74.61
1,2023-09-17 19:00:00,recyclable,1.05,0.04,0.07,31.31
3,2023-09-17 19:15:00,non_recyclable,0.85,0.42,0.72,98.43
3,2023-09-17 19:30:00,organic,0.81,0.19,0.36,73.14
4,2023-09-17 19:45:00,non_recyclable,0.95,0.99,0.58,20.84
3,2023-09-17 20:00:00,organic,0.83,0.23,0.43,93.2
4,2023-09-17 20:15:00,organic,1.08,0.61,0.13,63.76
2,2023-09-17 20:30:00,organic,0.88,0.2,0.92,43.75
3,2023-09-17 20:45:00,recyclable,1.17,0.93,0.21,62.63
1,2023-09-17 21:00:00,non_recyclable,0.79,0.21,0.19,40.91
4,2023-09-17 21:15:00,organic,1.02,0.41,0.02,60.5
1,2023-09-17 21:30:00,non_recyclable,0.79,0.9,0.25,90.34
3,2023-09-17 21:45:00,recyclable,0.92,0.87,0.38,0.64
3,2023-09-17 22:00:00,organic,1.15,0.82,0.76,73.7
3,2023-09-17 22:15:00,organic,0.74,0.64,0.69,74.18
4,2023-09-17 22:30:00,non_recyclable,0.96,0.69,0.03,22.78
1,2023-09-17 22:45:00,recyclable,1.03,0.09,0.99,83.7
4,2023-09-17 23:00:00,recyclable,1.08,1.0,0.28,46.84
1,2023-09-17 23:15:00,organic,1.08,0.35,0.56,29.32
2,2023-09-17 23:30:00,organic,0.76,0.46,0.69,62.01
2,2023-09-17 23:45:00,non_recyclable,0.6,0.5,0.11,93.31
3,2023-09-18 00:00:00,organic,1.13,0.49,0.47,52.41
2,2023-09-18 00:15:00,organic,0.93,0.85,0.14,29.82
1,2023-09-18 00:30:00,recyclable,1.17,0.42,0.27,34.77
2,2023-09-18 00:45:00,recyclable,1.1,0.53,0.24,11.21
4,2023-09-18 01:00:00,organic,0.78,0.81,0.45,2.15
2,2023-09-18 01:15:00,organic,0.77,0.55,0.42,50.54
1,2023-09-18 01:30:00,organic,0.95,0.75,0.38,88.74
4,2023-09-18 01:45:00,non_recyclable,0.97,0.4,0.11,32.79
1,2023-09-18 02:00:00,organic,0.85,0.74,0.43,94.02
3,2023-09-18 02:15:00,organic,0.69,0.74,0.68,26.53
3,2023-09-18 02:30:00,non_recyclable,1.07,0.48,0.48,94.65
2,2023-09-18 02:45:00,organic,0.73,0.32,0.22,14.41
1,2023-09-18 03:00:00,organic,1.16,0.19,0.6,27.62
3,2023-09-18 03:15:00,non_recyclable,0.91,0.28,0.21,78.99
2,2023-09-18 03:30:00,non_recyclable,1.38,0.01,0.65,26.81
1,2023-09-18 03:45:00,non_recyclable,0.82,0.33,0.67,87.81
3,2023-09-18 04:00:00,recyclable,1.18,0.54,0.41,41.48
2,2023-09-18 04:15:00,organic,1.13,0.44,0.51,44.92
4,2023-09-18 04:30:00,non_recyclable,1.23,0.41,0.21,94.4
4,2023-09-18 04:45:00,recyclable,0.81,0.9,0.09,54.36
3,2023-09-18 05:00:00,non_recyclable,0.7,0.39,0.89,98.18
3,2023-09-18 05:15:00,recyclable,1.15,0.8,0.96,35.87
2,2023-09-18 05:30:00,organic,0.68,0.32,0.96,1.48
3,2023-09-18 05:45:00,recyclable,0.71,0.13,0.15,54.36
3,2023-09-18 06:00:00,non_recyclable,1.2,0.98,0.29,61.25
3,2023-09-18 06:15:00,recyclable,0.65,0.01,0.86,62.44
4,2023-09-18 06:30:00,organic,1.07,0.86,0.54,49.96
2,2023-09-18 06:45:00,recyclable,0.69,0.65,0.25,3.27
1,2023-09-18 07:00:00,non_recyclable,1.13,0.03,0.03,6.14
2,2023-09-18 07:15:00,recyclable,0.95,0.44,0.23,10.71
1,2023-09-18 07:30:00,organic,0.96,0.06,0.06,54.5
2,2023-09-18 07:45:00,organic,0.87,0.28,0.96,90.92
1,2023-09-18 08:00:00,recyclable,1.34,0.06,0.14,48.26
1,2023-09-18 08:15:00,recyclable,0.61,0.74,0.54,68.61
4,2023-09-18 08:30:00,organic,0.6,0.15,0.78,51.95
1,2023-09-18 08:45:00,recyclable,1.01,0.23,0.25,35.58
4,2023-09-18 09:00:00,non_recyclable,0.85,0.91,0.82,47.65
2,2023-09-18 09:15:00,recyclable,1.04,0.89,0.15,95.97
2,2023-09-18 09:30:00,non_recyclable,0.79,0.77,0.18,44.47
1,2023-09-18 09:45:00,organic,0.83,0.82,0.6,38.1
1,2023-09-18 10:00:00,non_recyclable,1.19,0.8,0.83,92.24
4,2023-09-18 10:15:00,recyclable,1.35,0.74,0.59,33.63
4,2023-09-18 10:30:00,non_recyclable,1.12,0.76,0.01,16.37
2,2023-09-18 10:45:00,organic,1.24,0.07,0.83,29.11
4,2023-09-18 11:00:00,recyclable,1.13,0.37,0.98,55.35
2,2023-09-18 11:15:00,organic,1.12,0.1,0.96,53.05
4,2023-09-18 11:30:00,organic,0.87,0.4,0.23,94.98
1,2023-09-18 11:45:00,non_recyclable,1.11,0.62,0.38,81.34
4,2023-09-18 12:00:00,non_recyclable,1.03,0.94,0.51,41.88
4,2023-09-18 12:15:00,recyclable,1.0,0.05,0.32,89.78
1,2023-09-18 12:30:00,organic,0.64,0.29,0.44,82.88
2,2023-09-18 12:45:00,organic,1.36,0.45,0.94,9.22
2,2023-09-18 13:00:00,non_recyclable,0.71,0.39,0.01,13.37
3,2023-09-18 13:15:00,non_recyclable,1.34,0.96,0.25,67.28
2,2023-09-18 13:30:00,recyclable,1.29,0.63,0.96,75.49
4,2023-09-18 13:45:00,recyclable,0.86,0.95,0.43,90.38
4,2023-09-18 14:00:00,organic,0.82,0.03,0.59,64.47
1,2023-09-18 14:15:00,recyclable,1.1,0.76,0.05,3.28
1,2023-09-18 14:30:00,non_recyclable,1.29,0.39,0.84,28.25
2,2023-09-18 14:45:00,non_recyclable,0.92,0.71,0.02,13.75
3,2023-09-18 15:00:00,organic,0.77,0.53,0.22,81.27
3,2023-09-18 15:15:00,non_recyclable,1.22,0.53,0.02,65.7
4,2023-09-18 15:30:00,recyclable,0.7,0.86,0.4,59.13
4,2023-09-18 15:45:00,recyclable,0.94,0.32,0.43,62.96
2,2023-09-18 16:00:00,non_recyclable,0.92,0.56,0.77,71.34
4,2023-09-18 16:15:00,non_recyclable,0.71,0.06,0.06,44.13
3,2023-09-18 16:30:00,organic,0.69,0.65,0.35,96.11
2,2023-09-18 16:45:00,organic,1.2,0.71,0.79,73.89
2,2023-09-18 17:00:00,non_recyclable,0.83,0.66,0.71,86.47
1,2023-09-18 17:15:00,non_recyclable,1.05,0.3,0.92,96.88
3,2023-09-18 17:30:00,organic,0.86,0.45,0.61,87.78
3,2023-09-18 17:45:00,organic,1.3,0.3,0.28,88.77
4,2023-09-18 18:00:00,non_recyclable,0.69,0.65,0.66,50.23
2,2023-09-18 18:15:00,recyclable,1.24,0.77,0.96,57.73
2,2023-09-18 18:30:00,non_recyclable,1.03,0.18,0.55,93.51
2,2023-09-18 18:45:00,non_recyclable,0.66,0.85,0.3,99.55
4,2023-09-18 19:00:00,recyclable,1.05,0.5,0.68,20.43
1,2023-09-18 19:15:00,recyclable,0.62,0.01,0.83,75.89
1,2023-09-18 19:30:00,recyclable,1.08,0.98,0.51,37.24
1,2023-09-18 19:45:00,recyclable,0.68,0.14,0.69,93.63
2,2023-09-18 20:00:00,non_recyclable,1.1,0.2,0.4,46.09
3,2023-09-18 20:15:00,organic,1.15,0.84,0.77,17.5
1,2023-09-18 20:30:00,recyclable,1.04,0.11,0.12,50.95
3,2023-09-18 20:45:00,non_recyclable,1.36,0.53,0.66,17.66
2,2023-09-18 21:00:00,non_recyclable,1.39,0.64,0.01,62.44
2,2023-09-18 21:15:00,non_recyclable,0.7,0.16,0.76,86.53
4,2023-09-18 21:30:00,organic,1.18,0.74,0.22,20.91
2,2023-09-18 21:45:00,organic,0.94,0.12,0.49,47.14
3,2023-09-18 22:00:00,organic,0.87,0.44,0.09,72.17
1,2023-09-18 22:15:00,recyclable,1.19,0.25,0.02,35.46
1,2023-09-18 22:30:00,organic,1.36,0.78,0.81,88.19
2,2023-09-18 22:45:00,recyclable,0.68,0.22,0.97,26.6
4,2023-09-18 23:00:00,organic,1.15,0.08,0.09,91.85
4,2023-09-18 23:15:00,non_recyclable,0.61,0.9,0.14,47.34
2,2023-09-18 23:30:00,organic,0.81,0.43,0.17,52.84
3,2023-09-18 23:45:00,non_recyclable,0.72,0.07,0.59,55.49
4,2023-09-19 00:00:00,organic,1.1,0.46,0.53,45.42
3,2023-09-19 00:15:00,recyclable,0.86,0.2,0.81,11.02
1,2023-09-19 00:30:00,non_recyclable,1.21,0.35,0.29,84.76
3,2023-09-19 00:45:00,organic,1.36,0.47,0.81,5.76
1,2023-09-19 01:00:00,non_recyclable,1.16,0.04,0.58,19.71
1,2023-09-19 01:15:00,non_recyclable,1.36,0.83,0.54,64.68
3,2023-09-19 01:30:00,non_recyclable,1.25,0.98,0.39,61.31
1,2023-09-19 01:45:00,non_recyclable,0.92,0.95,0.87,38.35
1,2023-09-19 02:00:00,non_recyclable,1.12,0.35,0.89,70.17
2,2023-09-19 02:15:00,organic,0.62,0.16,0.53,94.91
1,2023-09-19 02:30:00,non_recyclable,1.02,0.17,0.6,7.54
3,2023-09-19 02:45:00,recyclable,1.26,0.46,0.87,26.6
4,2023-09-19 03:00:00,organic,0.66,0.66,0.31,68.93
1,2023-09-19 03:15:00,non_recyclable,0.84,0.76,0.05,95.43
1,2023-09-19 03:30:00,recyclable,1.31,0.16,0.39,62.99
1,2023-09-19 03:45:00,recyclable,0.81,0.66,0.53,71.11
3,2023-09-19 04:00:00,organic,0.8,0.95,0.11,67.53
3,2023-09-19 04:15:00,recyclable,0.79,1.0,0.62,49.09
2,2023-09-19 04:30:00,organic,1.17,0.46,0.24,89.32
1,2023-09-19 04:45:00,non_recyclable,1.13,0.17,0.9,19.97
3,2023-09-19 05:00:00,recyclable,0.95,0.71,0.29,66.55
3,2023-09-19 05:15:00,recyclable,1.14,0.04,0.12,79.01
3,2023-09-19 05:30:00,non_recyclable,0.94,0.31,0.39,52.34
4,2023-09-19 05:45:00,recyclable,0.86,0.7,0.24,52.79
3,2023-09-19 06:00:00,non_recyclable,1.22,0.45,0.64,96.99
1,2023-09-19 06:15:00,recyclable,1.09,0.75,0.48,92.61
3,2023-09-19 06:30:00,recyclable,1.19,0.66,0.86,97.71
2,2023-09-19 06:45:00,organic,1.27,0.14,0.92,46.8
1,2023-09-19 07:00:00,non_recyclable,1.05,0.5,0.41,46.22
1,2023-09-19 07:15:00,recyclable,1.1,0.08,0.5,31.06
4,2023-09-19 07:30:00,recyclable,0.9,0.55,0.48,88.94
2,2023-09-19 07:45:00,organic,0.89,0.64,0.76,95.6
2,2023-09-19 08:00:00,organic,0.74,0.43,0.15,94.46
4,2023-09-19 08:15:00,non_recyclable,1.05,0.43,0.15,0.38
4,2023-09-19 08:30:00,organic,0.87,0.71,0.11,81.04
2,2023-09-19 08:45:00,non_recyclable,1.05,0.13,0.71,16.58
2,2023-09-19 09:00:00,non_recyclable,0.8,0.24,0.14,37.62
1,2023-09-19 09:15:00,organic,1.28,0.59,0.9,61.27
1,2023-09-19 09:30:00,organic,1.17,0.71,0.51,12.65
1,2023-09-19 09:45:00,recyclable,0.77,0.64,0.51,14.94
2,2023-09-19 10:00:00,organic,1.1,0.76,0.21,36.78
2,2023-09-19 10:15:00,non_recyclable,1.13,0.4,0.69,16.13
3,2023-09-19 10:30:00,non_recyclable,0.68,0.76,0.38,64.73
4,2023-09-19 10:45:00,recyclable,0.71,0.76,0.9,97.43
3,2023-09-19 11:00:00,recyclable,0.74,0.81,0.23,8.48
3,2023-09-19 11:15:00,organic,0.9,0.72,0.05,74.99
2,2023-09-19 11:30:00,non_recyclable,1.26,0.78,0.84,1.97
2,2023-09-19 11:45:00,non_recyclable,0.94,0.21,0.33,57.05
4,2023-09-19 12:00:00,non_recyclable,1.39,0.58,0.06,55.18
3,2023-09-19 12:15:00,recyclable,1.16,0.49,0.23,85.66
1,2023-09-19 12:30:00,recyclable,1.15,0.55,0.19,14.91
4,2023-09-19 12:45:00,non_recyclable,1.31,0.57,0.84,66.25
3,2023-09-19 13:00:00,recyclable,0.69,0.32,0.08,10.27
4,2023-09-19 13:15:00,organic,0.96,0.63,0.14,14.25
1,2023-09-19 13:30:00,non_recyclable,0.95,0.09,0.88,32.7
3,2023-09-19 13:45:00,recyclable,1.15,0.42,0.02,34.42
4,2023-09-19 14:00:00,recyclable,0.76,0.21,0.62,5.24
2,2023-09-19 14:15:00,recyclable,0.71,0.89,0.69,56.99
1,2023-09-19 14:30:00,non_recyclable,1.05,0.6,0.67,1.46
2,2023-09-19 14:45:00,non_recyclable,1.34,0.98,0.14,66.75
4,2023-09-19 15:00:00,organic,0.76,0.12,0.19,81.94
4,2023-09-19 15:15:00,recyclable,1.03,0.88,0.74,67.02
2,2023-09-19 15:30:00,non_recyclable,0.73,0.61,0.83,14.78
4,2023-09-19 15:45:00,non_recyclable,0.93,0.9,0.05,15.68
1,2023-09-19 16:00:00,recyclable,0.83,0.13,0.1,42.69
2,2023-09-19 16:15:00,non_recyclable,1.34,0.44,0.92,45.78
4,2023-09-19 16:30:00,organic,1.1,0.96,0.17,70.44
2,2023-09-19 16:45:00,organic,1.23,0.33,0.64,39.83
1,2023-09-19 17:00:00,organic,1.1,0.95,0.41,2.26
2,2023-09-19 17:15:00,non_recyclable,1.39,0.78,0.69,49.6
4,2023-09-19 17:30:00,organic,0.62,0.73,0.19,17.76
2,2023-09-19 17:45:00,recyclable,1.25,0.54,0.94,18.23
2,2023-09-19 18:00:00,organic,1.18,0.89,0.15,54.93
1,2023-09-19 18:15:00,organic,0.89,0.44,0.05,16.74
4,2023-09-19 18:30:00,non_recyclable,0.7,0.03,0.5,67.53
1,2023-09-19 18:45:00,recyclable,0.78,0.86,0.47,40.53
4,2023-09-19 19:00:00,recyclable,0.95,0.73,0.89,60.2
